,EREGL,EREGL,EREGL,HEKTS,HEKTS,HEKTS,THYAO,THYAO,THYAO,TUPRS,TUPRS,TUPRS
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2013-06-06 00:00:00+00:00,2.0799999237060547,2.0799999237060547,47302899,0.0340339988470077,0.0340339988470077,13969669,6.713043212890625,6.713043212890625,44705831,6.400000095367432,6.400000095367432,11028829
2013-06-07 00:00:00+00:00,2.140000104904175,2.140000104904175,34336926,0.0354430004954338,0.0354430004954338,11704553,7.02608585357666,7.02608585357666,36350711,6.3714280128479,6.3714280128479,21106932
2013-06-10 00:00:00+00:00,2.0999999046325684,2.0999999046325684,21709361,0.0348390005528926,0.0348390005528926,4603722,6.921739101409912,6.921739101409912,22111327,6.3428568840026855,6.3428568840026855,6245568
2013-06-11 00:00:00+00:00,2.0999999046325684,2.0999999046325684,34854679,0.034435998648405,0.034435998648405,9161065,6.539130210876465,6.539130210876465,59643407,6.357141971588135,6.357141971588135,8122814
2013-06-12 00:00:00+00:00,2.150000095367432,2.150000095367432,32383568,0.0348390005528926,0.0348390005528926,4550788,6.608695030212402,6.608695030212402,28754872,6.385714054107666,6.385714054107666,4569089
2013-06-13 00:00:00+00:00,2.130000114440918,2.130000114440918,26438842,0.0346379987895488,0.0346379987895488,10044548,6.660869121551514,6.660869121551514,29102500,6.171428203582764,6.171428203582764,4334792
2013-06-14 00:00:00+00:00,2.1700000762939453,2.1700000762939453,30941569,0.0356450006365776,0.0356450006365776,12350530,6.973913192749023,6.973913192749023,41672916,6.514285087585449,6.514285087585449,5782413
2013-06-17 00:00:00+00:00,2.140000104904175,2.140000104904175,25882884,0.0354430004954338,0.0354430004954338,9296180,6.904346942901611,6.904346942901611,34768375,6.5428571701049805,6.5428571701049805,5722598
2013-06-18 00:00:00+00:00,2.119999885559082,2.119999885559082,13118544,0.0348390005528926,0.0348390005528926,5682850,7.02608585357666,7.02608585357666,24195898,6.485713958740234,6.485713958740234,5290733
2013-06-19 00:00:00+00:00,2.130000114440918,2.130000114440918,14615631,0.0350399985909462,0.0350399985909462,6299182,7.095652103424072,7.095652103424072,20023287,6.5428571701049805,6.5428571701049805,4917031
2013-06-20 00:00:00+00:00,2.009999990463257,2.009999990463257,32503541,0.0334290005266666,0.0334290005266666,22218601,6.869565010070801,6.869565010070801,29638373,5.971427917480469,5.971427917480469,6632122
