,ALARK,ALARK,ALARK,SAHOL,SAHOL,SAHOL,SASA,SASA,SASA,TOASO,TOASO,TOASO
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2004-09-06 00:00:00+00:00,1.5000840425491333,1.5000840425491333,4499752,2.6579079627990723,2.6579079627990723,3812037,0.0091199995949864,0.0091199995949864,54817534,2.9880290031433105,2.9880290031433105,2788585638
2004-09-07 00:00:00+00:00,1.5451990365982056,1.5451990365982056,3979072,2.736855983734131,2.736855983734131,7773306,0.0089130001142621,0.0089130001142621,93633846,3.060029983520508,3.060029983520508,7187465883
2004-09-08 00:00:00+00:00,1.5677570104599,1.5677570104599,5987700,2.8421199321746826,2.8421199321746826,11215918,0.0088090002536773,0.0088090002536773,62811778,3.1230309009552,3.1230309009552,10465756220
2004-09-09 00:00:00+00:00,1.601593017578125,1.601593017578125,4591270,2.894752025604248,2.894752025604248,8806263,0.0088090002536773,0.0088090002536773,19476176,3.105031013488769,3.105031013488769,2467310881
2004-09-10 00:00:00+00:00,1.5903140306472778,1.5903140306472778,356385,2.8421199321746826,2.8421199321746826,6673401,0.0087569998577237,0.0087569998577237,21463834,3.1230309009552,3.1230309009552,2052542707
2004-09-13 00:00:00+00:00,1.579035997390747,1.579035997390747,235906,2.815804004669189,2.815804004669189,2715610,0.0087059997022151,0.0087059997022151,12737762,3.0780301094055176,3.0780301094055176,2136819407
2004-09-14 00:00:00+00:00,1.601593017578125,1.601593017578125,1340853,2.894752025604248,2.894752025604248,6229222,0.0086540002375841,0.0086540002375841,38695443,3.0780301094055176,3.0780301094055176,2672570500
2004-09-15 00:00:00+00:00,1.6128720045089722,1.6128720045089722,1284273,2.947382926940918,2.947382926940918,7658901,0.0087569998577237,0.0087569998577237,35772061,3.150031089782715,3.150031089782715,4461083239
2004-09-16 00:00:00+00:00,1.601593017578125,1.601593017578125,1620354,2.894752025604248,2.894752025604248,7823115,0.0087569998577237,0.0087569998577237,56657862,3.0780301094055176,3.0780301094055176,3108953317
2004-09-17 00:00:00+00:00,1.5903140306472778,1.5903140306472778,2601901,2.8421199321746826,2.8421199321746826,12524657,0.0086540002375841,0.0086540002375841,19161447,3.0330300331115723,3.0330300331115723,1880473575
2004-09-20 00:00:00+00:00,1.5451990365982056,1.5451990365982056,2278807,2.7105400562286377,2.7105400562286377,13910938,0.0082909995689988,0.0082909995689988,35323026,2.808027982711792,2.808027982711792,4675224940
2004-09-21 00:00:00+00:00,1.5677570104599,1.5677570104599,1648075,2.763171911239624,2.763171911239624,15972880,0.0083950003609061,0.0083950003609061,21737751,2.8980278968811035,2.8980278968811035,4509061271
2004-09-22 00:00:00+00:00,1.5903140306472778,1.5903140306472778,1335250,2.8421199321746826,2.8421199321746826,9596252,0.0083950003609061,0.0083950003609061,52760504,2.9250290393829346,2.9250290393829346,2620527236
2004-09-23 00:00:00+00:00,1.6128720045089722,1.6128720045089722,2774778,2.9736990928649902,2.9736990928649902,34127775,0.0087059997022151,0.0087059997022151,147615061,3.0780301094055176,3.0780301094055176,4131827045
2004-09-24 00:00:00+00:00,1.6241509914398191,1.6241509914398191,3155453,3.026330947875977,3.026330947875977,16385034,0.0088090002536773,0.0088090002536773,25298191,3.168030977249145,3.168030977249145,6711891851
