,ARCLK,ARCLK,ARCLK,KCHOL,KCHOL,KCHOL,OYAKC,OYAKC,OYAKC,PETKM,PETKM,PETKM
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2013-09-24 00:00:00+00:00,12.25,11.899999618530272,1050119,9.760000228881836,9.760000228881836,3868748,4.300000190734863,4.289999961853027,6995,1.1008520126342771,1.0969059467315674,12485082
2013-09-25 00:00:00+00:00,11.899999618530272,12.100000381469728,1368033,9.699999809265137,9.859999656677246,6283583,4.300000190734863,4.260000228881836,27192,1.0969059467315674,1.1126890182495115,29444887
2013-09-26 00:00:00+00:00,12.100000381469728,11.949999809265137,299347,9.84000015258789,9.800000190734863,1729678,4.300000190734863,4.300000190734863,66646,1.1087429523468018,1.1047970056533811,2875923
2013-09-27 00:00:00+00:00,11.75,11.800000190734863,340223,9.619999885559082,9.65999984741211,2912249,4.28000020980835,4.28000020980835,18995,1.092960000038147,1.085068941116333,7642346
2013-09-30 00:00:00+00:00,11.75,11.75,435026,9.5,9.31999969482422,4122134,4.269999980926514,4.260000228881836,12089,1.0811229944229126,1.0732320547103882,9409375
2013-10-01 00:00:00+00:00,12.100000381469728,12.199999809265137,634064,9.619999885559082,9.81999969482422,2129369,4.320000171661377,4.320000171661377,51149,1.092960000038147,1.0969059467315674,11670192
2013-10-02 00:00:00+00:00,11.949999809265137,11.949999809265137,565382,9.68000030517578,9.640000343322754,4083726,4.309999942779541,4.320000171661377,41771,1.1008520126342771,1.1047970056533811,10992972
2013-10-03 00:00:00+00:00,12.149999618530272,12.199999809265137,349251,9.800000190734863,9.81999969482422,3357891,4.329999923706055,4.360000133514404,39792,1.1126890182495115,1.1324169635772705,24447960
2013-10-04 00:00:00+00:00,12.050000190734863,11.949999809265137,1049729,9.859999656677246,9.979999542236328,2565847,4.320000171661377,4.320000171661377,9452,1.1284719705581665,1.1639829874038696,21139924
2013-10-07 00:00:00+00:00,11.899999618530272,12.0,451276,9.880000114440918,9.899999618530272,2109184,4.349999904632568,4.349999904632568,120744,1.1521459817886353,1.1482000350952148,27072911
2013-10-08 00:00:00+00:00,12.100000381469728,12.100000381469728,691314,9.760000228881836,9.699999809265137,2161373,4.380000114440918,4.349999904632568,115182,1.1284719705581665,1.120579957962036,13977294
2013-10-09 00:00:00+00:00,12.0,12.0,557799,9.619999885559082,9.600000381469728,2991941,4.380000114440918,4.380000114440918,32201,1.116634964942932,1.1126890182495115,5237565
2013-10-10 00:00:00+00:00,12.149999618530272,12.050000190734863,585624,9.779999732971191,9.619999885559082,2090556,4.400000095367432,4.400000095367432,12691,1.1047970056533811,1.1126890182495115,5714587
2013-10-11 00:00:00+00:00,12.300000190734863,12.5,856694,9.699999809265137,9.800000190734863,2662573,4.480000019073486,4.429999828338623,16741,1.120579957962036,1.1126890182495115,3176989
2013-10-14 00:00:00+00:00,12.5,12.850000381469728,643945,9.800000190734863,9.800000190734863,0,4.440000057220459,4.429999828338623,4131,1.1126890182495115,1.1126890182495115,1997885
2013-10-15 00:00:00+00:00,12.5,12.5,0,9.800000190734863,9.800000190734863,0,4.429999828338623,4.429999828338623,0,1.1126890182495115,1.1126890182495115,0
2013-10-16 00:00:00+00:00,12.5,12.5,0,9.800000190734863,9.800000190734863,0,4.429999828338623,4.429999828338623,0,1.1126890182495115,1.1126890182495115,0
2013-10-17 00:00:00+00:00,12.5,12.5,0,9.800000190734863,9.800000190734863,0,4.429999828338623,4.429999828338623,0,1.1126890182495115,1.1126890182495115,0
2013-10-18 00:00:00+00:00,12.5,12.5,0,9.800000190734863,9.800000190734863,0,4.429999828338623,4.429999828338623,0,1.1126890182495115,1.1126890182495115,0
2013-10-21 00:00:00+00:00,13.199999809265137,13.449999809265137,1063977,9.859999656677246,9.960000038146973,5471254,4.46999979019165,4.480000019073486,12028,1.124526023864746,1.1324169635772705,14963703
2013-10-22 00:00:00+00:00,13.199999809265137,13.25,1426475,9.859999656677246,9.899999618530272,5151596,4.460000038146973,4.46999979019165,24219,1.1284719705581665,1.1442550420761108,29828265
2013-10-23 00:00:00+00:00,12.949999809265137,12.850000381469728,1006514,9.859999656677246,9.880000114440918,2257358,4.440000057220459,4.420000076293945,73369,1.1363630294799805,1.1403089761734009,14305942
2013-10-24 00:00:00+00:00,12.75,12.550000190734863,1784767,10.020000457763672,10.039999961853027,2763910,4.420000076293945,4.420000076293945,70557,1.1600370407104492,1.1600370407104492,11104052
2013-10-25 00:00:00+00:00,12.399999618530272,12.550000190734863,1661001,10.0,10.050000190734863,1831570,4.429999828338623,4.420000076293945,85396,1.175819993019104,1.1994940042495728,37687691
2013-10-28 00:00:00+00:00,12.600000381469728,12.5,683172,10.0600004196167,10.100000381469728,1306969,4.429999828338623,4.46999979019165,62321,1.2073860168457031,1.2389520406723022,49617553
2013-10-29 00:00:00+00:00,12.5,12.5,0,10.100000381469728,10.100000381469728,0,4.46999979019165,4.46999979019165,0,1.2389520406723022,1.2389520406723022,0
2013-10-30 00:00:00+00:00,12.850000381469728,12.550000190734863,1249434,10.300000190734863,9.949999809265137,2890215,4.570000171661377,4.510000228881836,86870,1.2389520406723022,1.266571044921875,55351293
2013-10-31 00:00:00+00:00,12.699999809265137,12.75,1653345,9.920000076293944,9.800000190734863,4455538,4.559999942779541,4.550000190734863,42711,1.2428970336914062,1.2428970336914062,29726727
2013-11-01 00:00:00+00:00,12.699999809265137,12.649999618530272,907996,9.800000190734863,9.81999969482422,3326653,4.559999942779541,4.559999942779541,25370,1.2192230224609375,1.2547340393066406,41580027
2013-11-04 00:00:00+00:00,12.600000381469728,12.5,506529,9.760000228881836,9.640000343322754,2010915,4.570000171661377,4.599999904632568,66167,1.258679986000061,1.2547340393066406,27774155
2013-11-05 00:00:00+00:00,12.550000190734863,11.899999618530272,2631166,9.600000381469728,9.460000038146973,3427536,4.599999904632568,4.46999979019165,57321,1.262626051902771,1.258679986000061,63519961
2013-11-06 00:00:00+00:00,12.050000190734863,12.25,1649178,9.399999618530272,9.399999618530272,3598185,4.46999979019165,4.480000019073486,28752,1.2507890462875366,1.2507890462875366,13845115
2013-11-07 00:00:00+00:00,12.199999809265137,12.0,1093716,9.420000076293944,9.5,3846887,4.449999809265137,4.449999809265137,17799,1.2389520406723022,1.227113962173462,17103920
2013-11-08 00:00:00+00:00,12.149999618530272,12.050000190734863,1659659,9.479999542236328,9.399999618530272,3441678,4.460000038146973,4.420000076293945,31914,1.223168969154358,1.1955490112304688,24581758
