,GARAN,GARAN,GARAN,GUBRF,GUBRF,GUBRF,KRDMD,KRDMD,KRDMD,YKBNK,YKBNK,YKBNK
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2008-10-15 00:00:00+00:00,2.6600000858306885,2.5799999237060547,63902389,1.7850879430770874,1.7177259922027588,1605270,0.3184280097484588,0.2991299927234649,69984298,1.352519989013672,1.2945549488067627,17503082
2008-10-16 00:00:00+00:00,2.400000095367432,2.299999952316284,164537476,1.5291130542755127,1.4954320192337036,5882944,0.2701820135116577,0.2701820135116577,36887200,1.2237080335617063,1.1721839904785156,25324683
2008-10-17 00:00:00+00:00,2.369999885559082,2.299999952316284,111053048,1.5493220090866089,1.4482790231704712,2544007,0.2798309922218323,0.2750059962272644,26259788,1.2108269929885864,1.1593029499053955,30907937
2008-10-20 00:00:00+00:00,2.180000066757202,2.150000095367432,170756788,1.3539730310440063,1.3270280361175537,6921158,0.2750059962272644,0.2798309922218323,24445155,1.10133695602417,1.1206589937210083,17883601
2008-10-21 00:00:00+00:00,2.200000047683716,2.259999990463257,175463579,1.3539730310440063,1.3943899869918823,8115187,0.2846559882164001,0.2798309922218323,29288537,1.1335400342941284,1.1721839904785156,30179762
2008-10-22 00:00:00+00:00,2.140000104904175,2.150000095367432,100995740,1.3539730310440063,1.5021690130233765,7728752,0.2701820135116577,0.2701820135116577,12988087,1.0820159912109375,1.0820159912109375,17104704
2008-10-23 00:00:00+00:00,2.069999933242798,1.9299999475479128,232595149,1.4011260271072388,1.3876529932022097,6097754,0.2605319917201996,0.2460580021142959,32435729,1.01760995388031,0.9467639923095704,24034667
2008-10-24 00:00:00+00:00,1.899999976158142,1.909999966621399,149644500,1.380916953086853,1.3876529932022097,3624470,0.236408993601799,0.2315839976072311,28480665,0.9016799926757812,0.8887990117073059,12188433
2008-10-27 00:00:00+00:00,1.8600000143051147,1.8799999952316284,67676563,1.380916953086853,1.340499997138977,2030378,0.2171099931001663,0.2122849971055984,10177573,0.8694769740104675,0.895238995552063,5810662
2008-10-28 00:00:00+00:00,2.059999942779541,2.0799999237060547,120263797,1.4011260271072388,1.3943899869918823,1724893,0.2267590016126632,0.2267590016126632,13469788,0.9854069948196412,1.01760995388031,15005107
2008-10-30 00:00:00+00:00,2.2799999713897705,2.400000095367432,21573090,1.5021690130233765,1.4819600582122805,2278574,0.2412330061197281,0.250883013010025,29470454,1.1142189502716064,1.1206589937210083,10192201
2008-10-31 00:00:00+00:00,2.400000095367432,2.380000114440918,60983297,1.4819600582122805,1.4819600582122805,1906346,0.2412330061197281,0.236408993601799,11807157,1.1206589937210083,1.1593029499053955,16998282
2008-11-03 00:00:00+00:00,2.559999942779541,2.539999961853028,57527948,1.5762670040130615,1.7446709871292114,6282533,0.2605319917201996,0.2557069957256317,26774933,1.275233030319214,1.275233030319214,12723016
2008-11-04 00:00:00+00:00,2.5,2.559999942779541,114167384,1.835610032081604,1.8692909479141235,4587137,0.2557069957256317,0.2557069957256317,41604791,1.2881139516830444,1.365401029586792,16285901
2008-11-05 00:00:00+00:00,2.5799999237060547,2.4600000381469727,67104615,1.8692909479141235,1.7682479619979858,3585442,0.2605319917201996,0.250883013010025,40130618,1.3782819509506226,1.313876032829285,16243880
2008-11-06 00:00:00+00:00,2.3299999237060547,2.3499999046325684,132530281,1.6503649950027466,1.6368919610977173,4727067,0.236408993601799,0.236408993601799,30714242,1.2687920331954956,1.2108269929885864,32123749
2008-11-07 00:00:00+00:00,2.4100000858306885,2.359999895095825,42623416,1.731199026107788,1.7682479619979858,6052091,0.2412330061197281,0.2412330061197281,10268319,1.2301490306854248,1.2108269929885864,7503895
2008-11-10 00:00:00+00:00,2.319999933242798,2.319999933242798,47202686,1.9029719829559328,1.9703329801559448,5890382,0.2412330061197281,0.236408993601799,7128978,1.2237080335617063,1.2494709491729736,10485280
2008-11-11 00:00:00+00:00,2.240000009536743,2.200000047683716,59554500,1.953492999076844,1.8187689781188965,4552191,0.2315839976072311,0.2267590016126632,10547069,1.1979459524154663,1.1979459524154663,8273014
2008-11-12 00:00:00+00:00,2.240000009536743,2.130000114440918,98419036,1.751407027244568,1.5998430252075195,3461841,0.2315839976072311,0.2219350039958953,12998038,1.1979459524154663,1.139981031417847,21129183
2008-11-13 00:00:00+00:00,2.039999961853028,2.0799999237060547,116254279,1.5358489751815796,1.4684879779815674,9264503,0.2171099931001663,0.2219350039958953,32633866,1.0755749940872192,1.1142189502716064,26346193
2008-11-14 00:00:00+00:00,2.190000057220459,2.240000009536743,118941508,1.657101035118103,1.7177259922027588,6178097,0.236408993601799,0.2219350039958953,43702098,1.1721839904785156,1.2043869495391846,21499399
2008-11-17 00:00:00+00:00,2.25,2.0799999237060547,113348224,1.667204976081848,1.5897389650344849,3246526,0.2315839976072311,0.2219350039958953,18517229,1.2237080335617063,1.139981031417847,18078543
2008-11-18 00:00:00+00:00,2.0,1.9600000381469729,123349653,1.5223770141601562,1.508905053138733,5389609,0.2171099931001663,0.2171099931001663,13350058,1.1077779531478882,1.0562529563903809,22268990
2008-11-19 00:00:00+00:00,1.9900000095367432,1.8899999856948853,83826494,1.569530010223389,1.5021690130233765,3912957,0.2171099931001663,0.2122849971055984,8263167,1.1142189502716064,1.0433720350265503,9949832
2008-11-20 00:00:00+00:00,1.7200000286102295,1.7400000095367432,168048130,1.374181032180786,1.4011260271072388,3550467,0.1978109925985336,0.1978109925985336,37362455,0.978967010974884,0.9854069948196412,22074161
2008-11-21 00:00:00+00:00,1.850000023841858,1.820000052452088,117711158,1.3876529932022097,1.414597988128662,4357763,0.1978109925985336,0.1978109925985336,61372178,1.0369319915771484,1.0626939535140991,14249152
