,AKBNK,AKBNK,AKBNK,ASELS,ASELS,ASELS,FROTO,FROTO,FROTO,SISE,SISE,SISE
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2011-04-21 00:00:00+00:00,6.911009788513184,6.911009788513184,14326551,0.5186769962310791,0.5186769962310791,43575259,14.149999618530272,14.149999618530272,311461,1.9687999486923216,1.9687999486923216,1607832
2011-04-22 00:00:00+00:00,6.911009788513184,6.911009788513184,2917992,0.5174999833106995,0.5174999833106995,11810615,14.199999809265137,14.199999809265137,55336,1.9635080099105835,1.9635080099105835,1157585
2011-04-25 00:00:00+00:00,6.911009788513184,6.911009788513184,2925465,0.5174999833106995,0.5174999833106995,15511149,14.300000190734863,14.300000190734863,219814,1.95821499824524,1.95821499824524,818458
2011-04-26 00:00:00+00:00,6.876711845397949,6.876711845397949,4527593,0.5139719843864441,0.5139719843864441,13572330,14.5,14.5,302382,2.0005550384521484,2.0005550384521484,2944873
2011-04-27 00:00:00+00:00,6.705223083496094,6.705223083496094,15112086,0.5116199851036072,0.5116199851036072,15051628,14.850000381469728,14.850000381469728,523417,1.9635080099105835,1.9635080099105835,2933113
2011-04-28 00:00:00+00:00,6.670925140380859,6.670925140380859,16253597,0.5233809947967529,0.5233809947967529,14766237,14.949999809265137,14.949999809265137,500943,1.952923059463501,1.952923059463501,5353373
2011-04-29 00:00:00+00:00,6.756669044494629,6.756669044494629,22353901,0.5269100069999695,0.5269100069999695,28178994,15.300000190734863,15.300000190734863,565974,1.9793850183486936,1.9793850183486936,6004986
2011-05-02 00:00:00+00:00,6.842413902282715,6.842413902282715,14087716,0.5245569944381714,0.5245569944381714,18804315,15.75,15.75,441910,2.0058469772338867,2.0058469772338867,3573434
2011-05-03 00:00:00+00:00,6.911009788513184,6.911009788513184,22540977,0.5304380059242249,0.5304380059242249,23793337,15.600000381469728,15.600000381469728,811172,1.995262026786804,1.995262026786804,3771761
2011-05-04 00:00:00+00:00,6.859562873840332,6.859562873840332,25087087,0.5445520281791687,0.5445520281791687,59421896,15.0,15.0,626705,2.0111401081085205,2.0111401081085205,4894923
2011-05-05 00:00:00+00:00,6.893860816955566,6.893860816955566,10716625,0.5492560267448425,0.5492560267448425,30953242,14.949999809265137,14.949999809265137,360090,2.079941987991333,2.079941987991333,5958400
2011-05-06 00:00:00+00:00,6.842413902282715,6.842413902282715,14884802,0.5445520281791687,0.5445520281791687,27547776,14.699999809265137,14.699999809265137,497139,2.0640649795532227,2.0640649795532227,4079192
2011-05-09 00:00:00+00:00,6.688074111938477,6.688074111938477,8555475,0.5480800271034241,0.5480800271034241,20867253,15.350000381469728,15.350000381469728,678310,2.085233926773072,2.085233926773072,7324150
2011-05-10 00:00:00+00:00,6.516584873199463,6.516584873199463,10399275,0.5433750152587891,0.5433750152587891,8393841,15.0,15.0,413878,2.101111888885498,2.101111888885498,2574421
2011-05-11 00:00:00+00:00,6.32794713973999,6.32794713973999,12161814,0.5351430177688599,0.5351430177688599,21014820,14.899999618530272,14.899999618530272,385718,2.1064040660858154,2.1064040660858154,3599134
2011-05-12 00:00:00+00:00,6.396542072296143,6.396542072296143,14507213,0.5174999833106995,0.5174999833106995,40067849,15.100000381469728,15.100000381469728,525694,2.15403699874878,2.15403699874878,4454901
2011-05-13 00:00:00+00:00,6.32794713973999,6.32794713973999,21291489,0.5022109746932983,0.5022109746932983,20142151,15.100000381469728,15.100000381469728,342384,2.095818996429444,2.095818996429444,4554277
2011-05-16 00:00:00+00:00,6.568030834197998,6.568030834197998,17733685,0.5057389736175537,0.5057389736175537,21180940,14.550000190734863,14.550000190734863,210383,2.1752068996429443,2.1752068996429443,6689795
2011-05-17 00:00:00+00:00,6.550881862640381,6.550881862640381,11852206,0.5033869743347168,0.5033869743347168,10683707,14.649999618530272,14.649999618530272,330795,2.3022260665893555,2.3022260665893555,12434034
